Modelo,Fabricante,Quantidade,MarketShare
SONG PLUS GS DM,BYD,25577,"5,3"
XRX HYBRID,TOYOTA,22360,"4,6"
BYD DOLPHIN MINI GS5EV,BYD,17516,"3,6"
DOLPHIN GS 180EV,BYD,17467,"3,6"
CCROSS XRX HYBRID,TOYOTA,17344,"3,6"
DOLPHIN MINI GS EV,BYD,13656,"2,8"
BYD SONG PRO GS DM,BYD,13374,"2,8"
FASTBACK AUDACE HYB,FIAT,11687,"2,4"
HAVAL H6 PREM HEV,GWM,11267,"2,3"
APREMIUMH,TOYOTA,10426,"2,1"
BYD SONG PLUS GS DM,BYD,8924,"1,8"
COROLLA APREMIUMH,TOYOTA,8827,"1,8"
HAVAL H6 GT,GWM,8719,"1,8"
PULSE AUDACE HYB,FIAT,8462,"1,7"
DOLPHIN MINI GS5EV,BYD,8310,"1,7"
HAVAL H6 PREM PHEV,GWM,7980,"1,6"
BYD KING GS DM,BYD,7757,"1,6"
GWM HAVAL H6 PHEV 19,GWM,7591,"1,6"
PRO HA,CAOA CHERY,7054,"1,5"
TIGGO8 PHEV,CAOA CHERY,7002,"1,4"
SONG PRO GS DM,BYD,6496,"1,3"
BYD DOLPHIN GS 180EV,BYD,6405,"1,3"
HAVAL H6 PHEV 19,GWM,5409,"1,1"
FASTBACK IMPETUS HY,FIAT,5342,"1,1"
SEAL AWD GS 590EV,BYD,4568,"0,9"
DOLPHIN PLUS 310EV,BYD,4557,"0,9"
GWM HAVAL H6 PREM HEV,GWM,4323,"0,9"
ORA 03 SKIN BEV48,GWM,3950,"0,8"
YUAN PLUS GL 310EV,BYD,3876,"0,8"
PRO H,CAOA CHERY,3744,"0,8"
XC60 T8 ULTIMATE,VOLVO,3442,"0,7"
BYD YUAN PRO GS 290EV,BYD,3221,"0,7"
RAV4H SXAWD CNT,TOYOTA,3219,"0,7"
XRV HYBRID,TOYOTA,3213,"0,7"
SONG PRO GL DM,BYD,3175,"0,7"
ORA 03 GT BEV63,GWM,3148,"0,6"
GWM HAVAL H6 PREM PHEV,GWM,2872,"0,6"
PULSE IMPETUS HYB,FIAT,2755,"0,6"
KING GS DM,BYD,2638,"0,5"
GWM HAVAL H6 GT,GWM,2607,"0,5"
TIGGO5X PRO H,CAOA CHERY,2508,"0,5"
BYD DOLPHIN PLUS 310EV,BYD,2498,"0,5"
CAOA CHERY TIGGO8 PHEV,CAOA CHERY,2411,"0,5"
X5 XDRIVE50E MSP,BMW,2401,"0,5"
KING GL DM,BYD,2300,"0,5"
XC60 T8 PLUS,VOLVO,2250,"0,5"
SPORTAGE TMHEV EXP,KIA,2175,"0,4"
CCROSS XRV HYBRID,TOYOTA,2154,"0,4"
CIVIC HYB TRNG,HONDA,2144,"0,4"
AUDACE HYB,FIAT,2121,"0,4"
BYD DOLPHIN MINI GS EV,BYD,2016,"0,4"
BYD SEAL AWD GS 590EV,BYD,1974,"0,4"
X3 XDRIVE30E,BMW,1909,"0,4"
GWM TANK 300 PHEV,BYD,1885,"0,4"
TOYOTA RAV4H SXAWD CNT,TOYOTA,1864,"0,4"
ALTIS HV,TOYOTA,1848,"0,4"
XC40 6 PLUS,VOLVO,1698,"0,4"
E JS1,JAC,1676,"0,3"
Q5 SB P-HIBRIDO,AUDI,1622,"0,3"
RENAULT E-KWID INTENS,RENAULT,1596,"0,3"
STONIC MHEV SX,KIA,1542,"0,3"
VOLVO EX30 E60 ULTRA,VOLVO,1490,"0,3"
COROLLA ALTIS HV,TOYOTA,1450,"0,3"
TIGGO7 PRO H,CAOA CHERY,1436,"0,3"
GWM HAVAL H6 HEV,GWM,1421,"0,3"
TIGGO7 PRO HA,CAOA CHERY,1387,"0,3"
XC60 T8 ULT DARK,VOLVO,1372,"0,3"
E-KWID INTENS,RENAULT,1372,"0,3"
CR-V FH-TOU,HONDA,1274,"0,3"
EX30 E60 ULTRA,VOLVO,1224,"0,3"
HONDA CIVIC HYB TRNG,HONDA,1200,"0,2"
M.BENZ C200 AMG LINE,M.BENZ,1130,"0,2"
IMPETUS HY,FIAT,1122,"0,2"
BMW X5XDRIVE45E PHEV,BMW,1118,"0,2"
M.BENZ CLA200,M.BENZ,1114,"0,2"
BAIC X7 PHEV,BMW,1113,"0,2"
KANGOO ETECHL1,RENAULT,1107,"0,2"
T40 1.5 JETFLEX,JAC,1104,"0,2"
F-150 LIGHTNI PRO,CAOA CHERY,1079,"0,2"
EV9 GTL,KIA,1032,"0,2"
TOYOTA SIENNA PLATINUM,TOYOTA,1032,"0,2"
LR RR D350 AB,LAND ROVER,1019,"0,2"
5X TXS,BMW,1003,"0,2"
PORSCHE CAYENNE CP PHE,PORSCHE,986,"0,2"
COUNTRYMAN PHEV,MINI,983,"0,2"
JAC E JS1,JAC,974,"0,2"
KIA SPORTAGE TMHEV EXP,KIA,964,"0,2"
ARRIZO6 PROH,CAOA CHERY,962,"0,2"
GWM ORA 03 SKIN BEV48,GWM,945,"0,2"
KIA STONIC MHEV SX,KIA,939,"0,2"
VOLVO XC40 6 PLUS,VOLVO,925,"0,2"
C40 8 ULTIMATE,VOLVO,918,"0,2"
BYD SONG PLUS PREM DM,BYD,915,"0,2"
XC40 8 ULTIMATE,VOLVO,907,"0,2"
VOLVO XC60 T8 PLUS,VOLVO,889,"0,2"
BMW 330E,BMW,883,"0,2"
GWM ORA 03 GT BEV63,GWM,880,"0,2"
GLA200 AMG LINE,M.BENZ,865,"0,2"
Q5 P-HIBRIDO,AUDI,847,"0,2"
JAECOO 7 PRESTIGE,LEXUS,815,"0,2"
DISC D300 LE,LAND ROVER,807,"0,2"
BYD YUAN PLUS GL 310EV,BYD,792,"0,2"
CAYENNE PHEV,PORSCHE,791,"0,2"
CAOA CHERY ICAR EQ1 TEC,CAOA CHERY,784,"0,2"
BYD SHARK GS DM,BYD,765,"0,2"
BMW X3 XDRIVE30E PHEV,BMW,759,"0,2"
YUAN PRO GS 290EV,BYD,751,"0,2"
RRS D350 HSED,LAND ROVER,743,"0,2"
VOLVO XC60 T8 ULTRA,VOLVO,735,"0,2"
VOLVO XC40 RECHARGE PE,VOLVO,726,"0,1"
C40 6 PLUS,VOLVO,696,"0,1"
IMPETUS HYB,FIAT,688,"0,1"
M.BENZ C300 AMG LINE,M.BENZ,685,"0,1"
EX30 E60 CORE,VOLVO,665,"0,1"
VOLVO EX30 E60 PLUS,VOLVO,660,"0,1"
XC90 T8 PLUS,VOLVO,657,"0,1"
NIRO HEV 1.6 SX,KIA,634,"0,1"
CLA200 AMG LINE,M.BENZ,631,"0,1"
GAC GS4 ELITE,GAC,618,"0,1"
KONA LTD HEV,HYUNDAI,610,"0,1"
E2008 GT,PEUGEOT,600,"0,1"
VOLVO XC60 INSC EXPRES PHEV,VOLVO,592,"0,1"
SPT D200 SE RD,LAND ROVER,573,"0,1"
HONDA CR-V FH-TOU,HONDA,573,"0,1"
M.BENZ GLC300 4M CO,M.BENZ,570,"0,1"
BYD KING GL DM,BYD,550,"0,1"
M.BENZ GLC300 4M,M.BENZ,550,"0,1"
M.BENZ GLB220 4M AMG L,M.BENZ,540,"0,1"
TIGGO5X PRO HA,CAOA CHERY,531,"0,1"
XC60 T8 POLESTAR,VOLVO,528,"0,1"
COOPER S ELECTRIC,MINI,528,"0,1"
PORSCHE CAYENNE PHEV,PORSCHE,527,"0,1"
VOLVO XC60 T8 ULT DARK,VOLVO,525,"0,1"
NX350H LUXURY,BMW,524,"0,1"
IX1 XDRIVE30,BMW,523,"0,1"
GLC300 4M,M.BENZ,505,"0,1"
IX3,BMW,496,"0,1"
DEF110D HSE XD 7L,LAND ROVER,478,"0,1"
M.BENZ GLA200 AMG LINE,M.BENZ,477,"0,1"
COMPASS S 4XE,JEEP,460,"0,1"
MMC OUTLANDER SIGNTR E,MITSUBISHI,460,"0,1"
BYD SONG PRO GL DM,BYD,457,"0,1"
EX30 E60 PLUS,VOLVO,456,"0,1"
JAECOO 7 LUXURY,LEXUS,447,"0,1"
GLE450 D 4M,M.BENZ,440,"0,1"
VOLVO XC60 T8 INSCRIPT PHEV,VOLVO,434,"0,1"
LEAF TEKNA,NISSAN,433,"0,1"
EJV5.5,JAC,432,"0,1"
XC90 T8 ULT DARK,VOLVO,431,"0,1"
AUDI Q5 SB P-HIBRIDO,AUDI,420,"0,1"
LR RRS PHEV AB,LAND ROVER,419,"0,1"
EX30 E40 CORE,VOLVO,414,"0,1"
NX350H F-SPORT,BMW,412,"0,1"
RENAULT KANGOO MAX ZE,RENAULT,407,"0,1"
VOLVO XC60 T8 ULTIMATE,VOLVO,400,"0,1"
SPT D200 SE D,VOLVO,396,"0,1"
VELAR PHEV HSE DYN,LAND ROVER,396,"0,1"
IX XDRIVE40,BMW,393,"0,1"
MINI COOPER S ELECTRIC,MINI,391,"0,1"
JEEP COMPASS S 4XE,JEEP,387,"0,1"
GLB200 PROG,CAOA CHERY,385,"0,1"
LR R.R SPT 3.0 TD HSE PHEV,LAND ROVER,382,"0,1"
VOLVO C40 P8 RECHARGE,VOLVO,382,"0,1"
KANGOO ETECHL2,RENAULT,374,"0,1"
LR DISC D350 LE,LAND ROVER,366,"0,1"
X6 M COMPETITION,BMW,351,"0,1"
NISSAN LEAF TEKNA,NISSAN,349,"0,1"
LR DEF110D350 HSEXD 7L,LAND ROVER,348,"0,1"
D1 GS 180EV,BYD,335,"0,1"
PANAMERA 4EHYB,PORSCHE,331,"0,1"
BMW X3 M50I,BMW,330,"0,1"
VOLVO XC40 8 ULTIMATE,VOLVO,328,"0,1"
M.BENZ GLE450 D 4M,M.BENZ,328,"0,1"
AUDI Q5 P-HIBRIDO,AUDI,321,"0,1"
SPT D200 SE RD7L,AUDI,321,"0,1"
FORD MAVERICK HYB LRT,FORD,320,"0,1"
M.BENZ GLA200 PROG,CAOA CHERY,316,"0,1"
ACCORD HYB TRNG,HONDA,316,"0,1"
PANAMERA 4SEHY,PORSCHE,314,"0,1"
BMW X6 XDRIVE40I MSP,BMW,311,"0,1"
SHARK GS DM,BYD,309,"0,1"
DISC SPT D200 SE RD7L PHEV,LAND ROVER,308,"0,1"
MEGANE E-TECH,RENAULT,307,"0,1"
GWM HAVAL H6 PHEV,GWM,303,"0,1"
VOLVO XC90 T8 PLUS,VOLVO,302,"0,1"
VOLVO XC90 INSC EXPRES,VOLVO,298,"0,1"
FORESTER S MHEV,LEXUS,298,"0,1"
GLC300 4M CO,M.BENZ,294,"0,1"
TAN AWD GS 680EV,BYD,290,"0,1"
GLE450 D 4M CO,M.BENZ,289,"0,1"
M.BENZ GLB220 4M PROG,CAOA CHERY,286,"0,1"
MINI COUNTRYMAN PHEV,MINI,280,"0,1"
VELAR PHEVSRDYN,LAND ROVER,275,"0,1"
AUDI E TRON SPB,AUDI,272,"0,1"
GAC AION V ELITE,GAC,266,"0,1"
EJV12,JAC,263,"0,1"
IONIQ HYBRID,HYUNDAI,261,"0,1"
RX500H F-SPORT,BMW,261,"0,1"
SUBARU FORESTER S MHEV,LEXUS,258,"0,1"
M.BENZ CLA200 AMG LINE,M.BENZ,257,"0,1"
MUSTANG MACH-E GT,BYD,257,"0,1"
X5 XDRIVE45E,BMW,256,"0,1"
PORSCHE PANAMERA 4EHYB,PORSCHE,256,"0,1"
CHEV SPARK EUV ACTIV,GM,255,"0,1"
CAYENNE SCPHEV,PORSCHE,254,"0,1"
ETRANSIT F35LAAB,FORD,250,"0,1"
CITROEN E JUMPY CARGO,CITROEN,248,"0,1"
CAOA CHERY TIGGO7 PHEV,CAOA CHERY,245,"0,1"
HYUNDAI IONIQ HYBRID,HYUNDAI,240,0
ES300H,LEXUS,240,0
OMODA E5,OMODA,237,0
JAC E JS4,JAC,236,0
BMW IX XDRIVE40,BMW,236,0
GLB220 4M AMG L,M.BENZ,233,0
VOLVO EX30 E60 CORE,VOLVO,232,0
UX250H LUXURY,LEXUS,230,0
RAV4 XSE PHEV,TOYOTA,226,0
PEUGEOT E EXPERT CARGO,PEUGEOT,226,0
DEF110D SE XD 7L,LAND ROVER,218,0
KIA NIRO HEV 1.6 SX,KIA,217,0
BOLT EUV PREMIER,GM,216,0
ICAR EQ1 TEC,CAOA CHERY,215,0
VOLVO C40 8 ULTIMATE,VOLVO,212,0
BMW IX1 EDRIVE20,BMW,211,0
NIRO HEV 1.6 EX,KIA,210,0
RRS D350 AB,LAND ROVER,209,0
FIAT 500E ICON,FIAT,207,0
M.BENZ CLA200 PROG,CAOA CHERY,205,0
GAC AION Y ELITE,GAC,204,0
RENAULT ZOE NEO INT,RENAULT,203,0
LEXUS NX350H LUXURY,BMW,203,0
DISC SPT D200 SE PHEV,LAND ROVER,200,0
X7 M60I,BMW,200,0
E JUMPY CARGO,BMW,199,0
VOLVO XC90 T8 AWD ULT,VOLVO,199,0
E JS4,JAC,197,0
FPACE PHEV RD SE,JAC,196,0
DISC SPT D200 SE RD PHEV,LAND ROVER,195,0
LR DEF110D HSE XD 7L,LAND ROVER,195,0
TAYCAN 4S CT,PORSCHE,190,0
M.BENZ GLE450 D 4M CO,M.BENZ,189,0
SUBARU XV S MHEV,SUBARU,189,0
VOLVO XC90 T8 ULTRA,VOLVO,188,0
Q8 SB E TRON,AUDI,188,0
ID.4 PRO PERF,CAOA CHERY,187,0
GEELY EX5 MAX,BMW,186,0
BMW IX3,BMW,186,0
LEXUS NX350H F-SPORT,BMW,185,0
RRS PHEV LE,LAND ROVER,184,0
CAOA CHERY ARRIZO6 PROH,CAOA CHERY,183,0
M.BENZ AMG GLE53 4M,M.BENZ,182,0
M.BENZ C200 AMG LINE- HEV,M.BENZ,182,0
DEF110D HSE XD,LAND ROVER,181,0
BYD TAN AWD GS 680EV,BYD,180,0
KIA SPORTAGE TMHEV EX,KIA,180,0
AMG GLE53 4M,M.BENZ,179,0
GLB220 4M PROG,CAOA CHERY,179,0
LR VELAR P340 HSE RDYN,LAND ROVER,178,0
HONDA ACCORD HYB TRNG,HONDA,177,0
CLA200 PROG,CAOA CHERY,172,0
GLA200 PROG,CAOA CHERY,170,0
DISC SPT D200 SE 7L PHEV,LAND ROVER,169,0
VOLVO XC90 T8 INSCRIPT PHEV,VOLVO,168,0
AMG GLE63S CO,M.BENZ,168,0
VOLVO EX40 6 PLUS,VOLVO,168,0
VOLVO XC60 T8 R-DESIGN PHEV I,VOLVO,165,0
CLA200,M.BENZ,163,0
PORSCHE PANAMERA 4SEHY,PORSCHE,162,0
IX XDRIVE50,BMW,162,0
530E M SPORT,BMW,161,0
E EXPERT CARGO,PORSCHE,161,0
BMW I3 BEV 120AH,BMW,160,0
VOLVO EC40 6 PLUS,VOLVO,160,0
UX250H DYNAMIC,LEXUS,157,0
G CHEROKEE 4XE,JEEP,157,0
CAYENNE S PHEV,PORSCHE,157,0
DISC D300 HSERD,LAND ROVER,156,0
VOLVO XC90 T8 ULT DARK,VOLVO,153,0
HAVAL H6 HEV,GWM,153,0
BMW IX2 XDRIVE30 MSP,BMW,151,0
ET3,BYD,146,0
TAYCAN 4S,PORSCHE,146,0
AUDI Q8 SB HIBRIDO,AUDI,145,0
E SCUDO CARGO,BYD,144,0
ZEEKR X FLAGSHIP,ZEEKR,143,0
BMW X7 M60I,BMW,143,0
LEXUS ES300H,LEXUS,143,0
LEXUS UX300H,BMW,139,0
LR DEF110D350 HSE XD,LAND ROVER,136,0
PANAMERA 4EHST,PORSCHE,134,0
HYD KONA H 16GDI SIG,HYUNDAI,131,0
VOLVO EX90 ULT TW PER,VOLVO,131,0
BMW 530E,BMW,128,0
VOLVO XC90 T8 ULTIMATE,VOLVO,128,0
AUDI E TRON,AUDI,126,0
I4 EDRIVE35,BMW,126,0
PORSCHE MACAN E4,PORSCHE,124,0
SONG PLUS PREM DM,BYD,123,0
FOTON TUNLAND V9,FOTON,123,0
H,PORSCHE,122,0
BMW 530E M SPORT,BMW,121,0
M.BENZ C300 AMG LINE- HEV,M.BENZ,121,0
HAN AWD GS 680EV,BYD,120,0
TAN AWD GS 700EV,BYD,120,0
AMG CLA35 4M,AUDI,119,0
DEF130D X,LAND ROVER,117,0
IX2 XDRIVE30 MSP,BMW,117,0
TOYOTA RAV4 XSE PHEV,TOYOTA,116,0
KIA NIRO HEV 1.6 EX,KIA,116,0
DEF110 PHEV HSE XD,LAND ROVER,115,0
LR DISC D300 LE,LAND ROVER,114,0
VOLVO XC60 T8 POLESTAR PHEV,VOLVO,113,0
PORSCHE MACAN E4S,PORSCHE,113,0
MINI COUNTRYMAN SE TOP,MINI,113,0
LR DEF110D HSE 7L,LAND ROVER,112,0
M.BENZ AMG GLC43 CO,M.BENZ,110,0
DEF90D HSE,LAND ROVER,108,0
DEF110D X 7L,LAND ROVER,106,0
EQA 250,M.BENZ,105,0
DEF110D SE XD,LAND ROVER,105,0
DEF110D S XD,LAND ROVER,104,0
TAYCAN 4CT,PORSCHE,102,0
E-J7,LAND ROVER,102,0
ETRANSIT 350 FL,FORD,101,0
RR D350 AB,LAND ROVER,101,0
BLAZER EV RS,GM,100,0
LEXUS RX500H F-SPORT,BMW,100,0
M.BENZ AMG G63 4M,M.BENZ,100,0
530E,BMW,99,0
NIRO HEV SX RIOPEN,KIA,99,0
I4 40,BMW,99,0
Q8 E TRON 55,AUDI,97,0
GLS 450 4M,M.BENZ,97,0
AUDI Q7 HIBRIDO,AUDI,95,0
ZEEKR 001 FLAGSHIP,ZEEKR,94,0
MMC OUTLANDER HPES E,LEXUS,94,0
JEEP G CHEROKEE 4XE,JEEP,94,0
BMW X5 XDRIVE50E MSP,BMW,93,0
FPACE P340 RDYN SE,MITSUBISHI,93,0
IX1 EDRIVE20,BMW,93,0
LEXUS NX450H PLUG-IN,LEXUS,92,0
A200 AMG LINE,M.BENZ,92,0
HYD KONA H 16GDI ULT,HYUNDAI,91,0
COUNTRYMAN SE TOP,LEXUS,91,0
BMW IX1 XDRIVE30,BMW,90,0
X5 XDRIVE50E XLINE,BMW,90,0
XV S MHEV,SUBARU,90,0
VELAR PHEV HSE RDYN,LAND ROVER,89,0
RR PHEV AB,LAND ROVER,88,0
FPACE PHEV RDYN SE,SUBARU,88,0
PORSCHE TAYCAN 4S,PORSCHE,87,0
PORSCHE CAYENNE SCPHEV,PORSCHE,87,0
AUDI Q6 ETRON QUATTRO,AUDI,85,0
JAG FPACE P340 RDYN SE,JAGUAR,83,0
CHEV EQUINOX EV,GM,82,0
RR D350 SE,LAND ROVER,81,0
ZEEKR X PREMIUM,ZEEKR,80,0
BYD TAN AWD GS 700EV,BYD,80,0
VOLVO C40 6 PLUS,VOLVO,77,0
HAVAL H6 PHEV,GWM,77,0
PORSCHE TAYCAN 4CT,PORSCHE,74,0
296 GTB,VOLVO,74,0
DEF110D HSE 7L,LAND ROVER,73,0
LEXUS UX250H LUXURY HEV,LEXUS,72,0
MINI COOPER SE,MINI,71,0
BOLT PREMIER,GM,71,0
LEXUS UX250H DYNAMIC HEV,LEXUS,71,0
DISC D350 LE,LAND ROVER,70,0
M.BENZ E300 EXCLUSIVE,GM,70,0
CAYENNE CP TSP,PORSCHE,69,0
LR DEF110D350 X 7L,LAND ROVER,69,0
KIA STONIC MHEV SX HEV,KIA,68,0
DEF110D350 HSE XD,LAND ROVER,67,0
M.BENZ AMG GLB35 4M,M.BENZ,67,0
MINI ACEMAN SE,MINI,67,0
DEF110D S XD 7L,LAND ROVER,67,0
LR RR PHEV AB,LAND ROVER,66,0
MACAN E4,PORSCHE,66,0
LEXUS NX350H DYNAMIC,BMW,66,0
AUDI RS6 AV PERF HIB,AUDI,66,0
M.BENZ EQA 250,M.BENZ,65,0
AMGGLC43,M.BENZ,65,0
I4 M50,BMW,65,0
LR RRS D350 HSED,LAND ROVER,64,0
FPACE PHEV RDYN S,M.BENZ,63,0
VW ID.4 PRO PERF,CAOA CHERY,63,0
FOTON TUNLAND V7,FOTON,62,0
NX350H DYNAMIC,BMW,61,0
E TRON SPB,VW,61,0
CAMRY HV,TOYOTA,61,0
LEXUS RX450H PLUG-IN,LEXUS,61,0
VOLVO XC40 INSC EXPRES,VOLVO,61,0
DISC D300 SRD,LAND ROVER,59,0
500E ICON,FIAT,59,0
UX300H,BMW,59,0
E JS1 EXTREME,JAC,58,0
AMG GLC43 CO,M.BENZ,58,0
GAC GS4 PREMIUM,GAC,58,0
PORSCHE MACAN ETURBO,PORSCHE,57,0
GWM ORA 03 BEV58,GWM,56,0
RRS D350 SED,LAND ROVER,56,0
VOLVO XC90 T8 AWD ULTD,VOLVO,55,0
PORSCHE 911 CARRERAGTS,PORSCHE,55,0
VOLVO EC40 8 ULTRA,VOLVO,55,0
LR DEF110D HSE XD,LAND ROVER,54,0
CAYENNE TCPHEV,PORSCHE,54,0
AUDI RS E TRON GT,AUDI,54,0
KONA EV39,HYUNDAI,54,0
DISC SPT D200 SE D 7L,LAND ROVER,54,0
JAC E-J7,JAC,54,0
VOLVO XC90 T8 R-DESIGN,VOLVO,53,0
PORSCHE TAYCAN,PORSCHE,52,0
ARTURA,JAC,52,0
RENAULT KANGOO ETECHL2,RENAULT,51,0
FORD MUSTANG MACH-E GT,BYD,51,0
AMG GLA35 4M,AUDI,50,0
M.BENZ AMG GLE63S CO,M.BENZ,50,0
DEF110D X,LAND ROVER,49,0
PORSCHE PANAMERA 4EHST,PORSCHE,49,0
I7 XDRIVE60,BMW,49,0
RRS PHEV AB,LAND ROVER,49,0
GAC HYPTEC HT ELITE,GAC,49,0
TAYCAN 4GTS,PORSCHE,49,0
RR D350 LE,LAND ROVER,49,0
VOLVO XC40 T5H RDESIGN PHEV,VOLVO,48,0
LR VELAR PHEV HSED,LAND ROVER,48,0
EQUINOX EV,GM,47,0
PEUGEOT E2008 GT,PEUGEOT,47,0
M.BENZ 320 ESPRINTER F,LEXUS,46,0
VOLVO XC90 T8 AWD PLUS,VOLVO,46,0
HYUNDAI KONA LTD HEV,HYUNDAI,45,0
PORSCHE PANAMERA TSEHY,PORSCHE,45,0
LR DEF90D HSE,LAND ROVER,45,0
M.BENZ GLS 450 4M HEV,M.BENZ,45,0
PORSCHE CAYENNE S PHEV,PORSCHE,43,0
WORK,LAND ROVER,43,0
LR RRS D350 LE,LAND ROVER,43,0
NETA AYA COMFORT 4S,NETA,43,0
M.BENZ AMG CLA35 4M,AUDI,42,0
E300 EXCLUSIVE,LAND ROVER,42,0
M.BENZ SL63S EP,NETA,42,0
COOPER SE,M.BENZ,42,0
AMG GLB35 4M,M.BENZ,42,0
EQB 250,M.BENZ,41,0
PORSCHE CAYENNE TCPHEV,PORSCHE,41,0
M.BENZ AMGGLC43,M.BENZ,41,0
VOLVO EX30 E40 CORE,VOLVO,40,0
M.BENZ AMG GT63S EP 2P,M.BENZ,40,0
DEF90D S,LAND ROVER,40,0
RS E TRON GT,VOLVO,40,0
I5 M60,BMW,40,0
MINI COOPER E,MINI,40,0
DISC SPT D200 S PHEV,LAND ROVER,40,0
BYD ET3,BYD,39,0
GWM WEY 07,GWM,39,0
PANAMERA TSEHY,PORSCHE,39,0
GAC HYPTEC HT ULTRA,GAC,38,0
PORSCHE CAYENNE CP TSP,PORSCHE,38,0
VOLVO XC40 T5H INSCRIP PHEV,VOLVO,38,0
LR DEF110D X 7L,LAND ROVER,37,0
CHEV BLAZER EV RS,GM,37,0
BMW IX XDRIVE50,BMW,37,0
BMW X6 M COMPETITION,BMW,37,0
EQC400 4M,VOLVO,37,0
X FLAGSHIP,BMW,36,0
M.BENZ EQB350 4M,M.BENZ,36,0
AUDI E TRON SPB S,AUDI,36,0
JAG FPACE PHEV RDYN SE,JAGUAR,36,0
001 FLAGSHIP,M.BENZ,36,0
RR PHEV HSE,LAND ROVER,36,0
XC90 T8 ULTRA,VOLVO,35,0
M.BENZ GLS 450 4M,M.BENZ,35,0
Q8 SB HIBRIDO,AUDI,35,0
PEUGEOT 208 E-GT,PEUGEOT,34,0
PORSCHE CAYENNE TS PHE,PORSCHE,33,0
RENAULT MEGANE E-TECH,RENAULT,33,0
