Modelo,Fabricante,Quantidade,MarketShare
VOLVO XC60 T8 POLESTAR,VOLVO,32,0
LR DEF130D350 X 7L,LAND ROVER,32,0
BMW I4 40,BMW,32,0
HITECH ECOCARGO,VOLVO,31,0
ARRIZO6 PRHA,CAOA CHERY,31,0
IX M60,BMW,31,0
296 GTS,HITECH,31,0
M.BENZ AMG S63 EP,M.BENZ,31,0
M.BENZ AMG GLC63S EP,M.BENZ,30,0
BMW I5 M60,BMW,30,0
RRS D350 LE,LAND ROVER,30,0
TAYCAN TURBO S,PORSCHE,30,0
M.BENZ AMG C63S EP,M.BENZ,29,0
VOLVO EX40 PERF ULTRA,VOLVO,29,0
M.BENZ AMG GLA35 4M,AUDI,28,0
EQB350 4M,M.BENZ,28,0
NEXTEM ORCA FEVER FN1,VOLVO,28,0
CAYENNE T PHEV,PORSCHE,28,0
ONE WORK,M.BENZ,27,0
E TRON,FEVER,27,0
LEXUS NX300H LUXURY HEV,BMW,27,0
LR DEF110D HSE,LAND ROVER,27,0
NETA X 500 LUXURY,LEXUS,27,0
MINI ACEMAN E,MINI,27,0
RX450H PLUG-IN,LEXUS,26,0
EQE 300,M.BENZ,26,0
LR DEF110D350 X,LAND ROVER,26,0
RR D350 SV,LAND ROVER,26,0
DISC SPT D200 S 7L,LAND ROVER,26,0
CAYENNE TS PHE,PORSCHE,26,0
MINI COUNTRYMAN SE EXC,MINI,25,0
LR DEF130D350 X,LAND ROVER,25,0
VW ID.BUZZ PRO,CAOA CHERY,25,0
ZEEKR 001 PREMIUM,ZEEKR,25,0
208 E-GT,PEUGEOT,24,0
MACAN ETURBO,PORSCHE,24,0
DISC D300 HSED,LAND ROVER,23,0
PORSCHE TAYCAN TURBO S,PORSCHE,23,0
BMW I4 M50,BMW,23,0
VOLVO XC60 T8 R-DESIGN PHEV,VOLVO,23,0
IEV750 VIP ALPHA6,JAC,23,0
LEVANTE MHEV,BMW,22,0
HUMMER EV EDITION1,VOLVO,22,0
RRS PHEV HSED,LAND ROVER,22,0
M.BENZ AMG GLC43,M.BENZ,22,0
LR DEF110D X,LAND ROVER,22,0
DONGFENG SERES 3 ELEG2,LEXUS,22,0
DEF110D350 HSEXD 7L,LAND ROVER,21,0
IEV 330P,JAC,21,0
JAG IPACE E400 SE,JAGUAR,21,0
JAC IEV750V,JAC,21,0
AMG S63 EP,M.BENZ,21,0
PORSCHE TAYCAN 4GTS,PORSCHE,21,0
HONDA ACCORD HYB TRNG HEV,HONDA,21,0
HUMMER EV SUV EDIT,M.BENZ,21,0
E TRON GT,PORSCHE,21,0
TAYCAN TURBO,PORSCHE,20,0
TAYCAN,PORSCHE,20,0
AMG C63S EP F1,M.BENZ,20,0
AMG C63S EP,M.BENZ,20,0
EQE300 SUV,M.BENZ,20,0
TESLA MODEL S PLAID,LEXUS,20,0
BMW I7 XDRIVE60,BMW,20,0
M.BENZ AMG GT63S EP,M.BENZ,20,0
M.BENZ AMG C63S EP F1,M.BENZ,19,0
LEXUS RX450H L LUXURY HEV,LEXUS,19,0
X PREMIUM,BMW,19,0
COOPER E,M.BENZ,19,0
LR R.R SPT 3.0 TD HSED PHEV,LAND ROVER,19,0
VOLVO EC40 PERF ULTRA,VOLVO,19,0
LR RRS D350 SED,LAND ROVER,19,0
TOYOTA CAMRY HV,TOYOTA,19,0
COUNTRYMAN SE EXC,LAND ROVER,18,0
ZEEKR 7X FLAGSHIP AWD,ZEEKR,18,0
LR RR D350 LE,LAND ROVER,18,0
GAC AION ES PLUS,LEXUS,18,0
EQS450,M.BENZ,18,0
M.BENZ EQC400 4M,VOLVO,18,0
I3 BEV 120AH,BMW,18,0
TESLA MODEL Y LONG R,LEXUS,17,0
PORSCHE TAYCAN TURBO,PORSCHE,17,0
FORD ETRANSIT F35LAAB,FORD,17,0
VOLVO EX30 C COUNTRY,VOLVO,17,0
DISC SPT D200 SE D,LAND ROVER,17,0
PEUGEOT 2008 GT HYBRID,PEUGEOT,17,0
SPORT,LAND ROVER,17,0
LR DEF90D350 HSE XD,LAND ROVER,17,0
BMW IX M60,BMW,16,0
MASERATI LEVANTE MHEV,MASERATI,16,0
EQS 53 4M,M.BENZ,16,0
ID.BUZZ PRO,CAOA CHERY,16,0
FERRARI 296 GTS,LAND ROVER,16,0
VELAR PHEV HSED,LAND ROVER,16,0
LEXUS NX300H F-SPORT HEV,BMW,16,0
PORSCHE 911 CAR GTS CA,PORSCHE,16,0
JAC IEV 20,JAC,16,0
DEF110D HSE,LAND ROVER,16,0
AUDI E TRON GT,AUDI,16,0
DEF110 PHEV X,LAND ROVER,16,0
AOXIN HITECH ECOTECH 2,JAC,15,0
SERES 3 ELEG,LEXUS,15,0
HITECH ECOTECH 2,AUDI,15,0
JAC E JS1 EXTREME,JAC,15,0
TESLA MODEL X PLAID,LEXUS,15,0
NETA X 500 COMFORT,NETA,15,0
BMW X5 XDRIVE50E XLINE,BMW,15,0
FERRARI 296 GTB,LAND ROVER,14,0
SL63S EP,TESLA,14,0
CHEVROLET BOLT PREMIER,GM,14,0
RS6 AV PERF HIB,AUDI,14,0
EV5 LAND 2WD,KIA,14,0
FERRARI SF90 STRADALE,LAND ROVER,14,0
SQ8 SB E TRON,AUDI,14,0
Q7 HIBRIDO,AUDI,13,0
M.BENZ EQS 53 4M,M.BENZ,13,0
VOLVO EX40 PERF BLACK,VOLVO,13,0
PACIFICA HPINNACLE,CHRYSLER,13,0
SPT D200 SE 7L,AUDI,13,0
LR VELAR PHEV HSE DYN,LAND ROVER,13,0
SF90 STRADALE,VOLVO,13,0
VELAR P340 HSE RDYN,LAND ROVER,13,0
CHEV BOLT EUV PREMIER,GM,13,0
MODEL Y LONG R,TESLA,13,0
BYD D1 GS 180EV,BYD,13,0
IPACE E400 SE,LAND ROVER,13,0
BYD SONG PLUS GS 450DM,BYD,13,0
LR RR PHEV SV,LAND ROVER,13,0
TANGJUN RD6 LUXURY,BYD,13,0
REVUELTO,JAGUAR,12,0
DEF130D OB,LAND ROVER,12,0
TANGJUN RD6 STANDARD,BYD,12,0
PORSCHE CAYENNE T PHEV,PORSCHE,12,0
VOLVO EX40 8 ULTRA,VOLVO,12,0
M.BENZ EQE 300,M.BENZ,12,0
EC40 8 ULTRA,VOLVO,12,0
BYD HAN AWD GS 680EV,BYD,12,0
KIA EV5 LAND 2WD,KIA,12,0
M.BENZ GLB200 PROG,CAOA CHERY,11,0
PEUGEOT 208 GT HYBRID,PEUGEOT,11,0
SPORTAGE TMHEV EX,KIA,11,0
JAG FPACE PHEV RD SE,JAGUAR,11,0
SF90 SPIDER,M.BENZ,11,0
NETA AYA LUXURY 4S,LEXUS,11,0
MODEL X PLAID,TESLA,11,0
GAC AION Y PREMIUM,GAC,11,0
M.BENZ EQB 250,M.BENZ,10,0
MODEL 3 LONG R,TESLA,10,0
TESLA MODEL Y PERFORMA,LEXUS,10,0
VOLVO EC40 PERF BLACK,VOLVO,10,0
DEF110D350 X 7L,LAND ROVER,10,0
LR VELAR PHEV AB,LAND ROVER,10,0
E TRON SPB S,TESLA,10,0
SIENNA XSE FWD,TOYOTA,10,0
HYD IONIQ5 SIG,AUDI,10,0
AMG GLC63S EP,M.BENZ,10,0
SIENNA XSE,TOYOTA,10,0
XDRIVE50E MSP,TOYOTA,9,0
LR DEF110 PHEV HSE XD,LAND ROVER,9,0
TIGGO7 SPORT,CAOA CHERY,9,0
LR VELAR PHEV HSE RDYN,LAND ROVER,9,0
AUDI RS6 AV GT HIB,AUDI,9,0
LAMBORGHINI URUS SE,LAMBORGHINI,9,0
LAMBORGHINI REVUELTO,LAMBORGHINI,9,0
JAC IEV 330P,JAC,9,0
DEF110D350 X,LAND ROVER,9,0
PRO,CAOA CHERY,8,0
BMW X6 40I MSP DARK ED,BMW,8,0
M.BENZ AMG G63 MFKT,M.BENZ,8,0
MINICAR 2SEATER,CAOA CHERY,8,0
GEELY EX5 PRO,CAOA CHERY,8,0
LR RRSPT PHEV404 HSED,LAND ROVER,8,0
TESLA MODEL 3 LONG R,LEXUS,8,0
AMG EQE53 SUV,M.BENZ,8,0
NISSAN ARIYA ENG AWD,NISSAN,8,0
IEV750V,JAC,8,0
SERES 5 BEV,LEXUS,8,0
MODEL S PLAID,TESLA,7,0
IONIQ5 SIG,AUDI,7,0
R1T ADVENTURE,JAC,7,0
DEF110D LE75TH,LAND ROVER,7,0
DONGFENG SERES 3 ELEG,LEXUS,7,0
PACIFICA HYBR,CHRYSLER,7,0
M.BENZ A200 AMG LINE,M.BENZ,7,0
SOKON EC31,LAND ROVER,7,0
NISSAN ARIYA ENG 2WD,NISSAN,7,0
VOLVO XC60 T8 MOMENTUM PHEV,VOLVO,6,0
BMW 745LE,BMW,6,0
RR PHEV SV,LAND ROVER,6,0
PORSCHE PANAMERA TPHEV,PORSCHE,6,0
PORSCHE TAYCAN 4S CT,PORSCHE,6,0
GHIBLI GT HYB,BMW,6,0
PACIFICA PINNACLE,CHRYSLER,6,0
SIENNA XLE,TOYOTA,6,0
NISSAN ARIYA ENGPL AWD,NISSAN,6,0
S 580E 4MATIC,MASERATI,6,0
JAG IPACE E400 S,JAGUAR,6,0
BYD D1 GL 180EV,BYD,6,0
COOPER SE ALL4TOP,TOYOTA,6,0
IPACE E400 S,NISSAN,6,0
SPT D200 SE,M.BENZ,6,0
GMC HUMMER EV 3X,GM,6,0
BMW I4 EDRIVE35,BMW,6,0
BENTLEY CONT GT SPEED,BENTLEY,6,0
CHRYSLER PACIFICA AWD,CHRYSLER,6,0
TESLA MODEL 3 PERFORMA,LEXUS,6,0
SHARK GL DM,BYD,5,0
SOKON EC35 FUR,BMW,5,0
,BENTLEY,5,0
HITECH ECOTRUCK,CHRYSLER,5,0
ORCA FEVER FN1,SERES,5,0
ETRANSIT 350 F,FORD,5,0
LR VELAR P340 SE RDYN,LAND ROVER,5,0
AUDI A6 ETRON RWD,AUDI,5,0
M.BENZ AMG EQE53 SUV,M.BENZ,5,0
MCLAREN ARTURA SPIDER,M.BENZ,5,0
VELAR P340 HSE DYN,LAND ROVER,5,0
SIENNA HYBRID,TOYOTA,5,0
VOLVO S90 T8 INSCRIPT,VOLVO,5,0
SIENNA PLATINUM,TOYOTA,5,0
ETRANSIT 350 FB,FORD,5,0
M.BENZ EQE350 SUV AMGL,M.BENZ,5,0
RD6 LUXURY,LEXUS,5,0
DONGFENG NANO351 EX008,TOYOTA,5,0
HYUNDAI KONA EV39,HYUNDAI,5,0
MINI JCW-E ACEMAN,MINI,5,0
AUDI Q8 E TRON 55,AUDI,5,0
NISSAN ARIYA PLT AWD,NISSAN,5,0
FIAT E SCUDO CARGO,FIAT,5,0
001 PREMIUM,DONGFENG,5,0
FLYSPUR HYB,HYUNDAI,5,0
FERRARI SF90 SPIDER,LAND ROVER,4,0
AMG EQS53 4M,M.BENZ,4,0
MODEL 3,TESLA,4,0
DEF130D S XD,LAND ROVER,4,0
M.BENZ EQS450,M.BENZ,4,0
TESLA MODEL S LONG R,LEXUS,4,0
RD6 STANDARD,BYD,4,0
TIGGO8 16TA,CAOA CHERY,4,0
M.BENZ EQS450 4M AMG L,M.BENZ,4,0
TOYOTA SIENNA XSE,TOYOTA,4,0
DONGFENG SERES5 HUA4,AUDI,4,0
BENTAYGA HYBRI,TESLA,4,0
LEXUS UX250H LUXURY,LEXUS,4,0
F-150 LIGHTN LARI,CAOA CHERY,4,0
HUNTER HD 4X4 AT,JAC,4,0
SERES 3 ELEG2,LEXUS,4,0
BENTLEY BENTAYGA HYBRI PHEV,BENTLEY,4,0
AION Y,BENTLEY,4,0
TOWNSTAR EV,LEXUS,4,0
XC60 T8 ULTRA,VOLVO,4,0
EC35 FUR,JAC,4,0
ROYCE SPECTRE,DONGFENG,4,0
LR DEF130D X,LAND ROVER,4,0
CHRYSLER PACIFICA HYBR,CHRYSLER,4,0
DEF90D HSE XD,LAND ROVER,4,0
LR RRS D350 AB,LAND ROVER,3,0
LEXUS NX300H DYNAMIC HEV,BMW,3,0
S580E 4MATIC LIMO L,M.BENZ,3,0
AMG GT63 S PER,M.BENZ,3,0
KIA NIRO HEV SX RIOPEN,KIA,3,0
EQS450 4M AMG L,M.BENZ,3,0
MCLAREN ARTURA,M.BENZ,3,0
M.BENZ AMG EQS53 4M,M.BENZ,3,0
KIA EV9 GTL,KIA,3,0
LR DISC D300 HSERD,LAND ROVER,3,0
AOXIN HITECH ECOCARGO,M.BENZ,3,0
JAC EJV5.5,JAC,3,0
PORSCHE 918 SPYDER,PORSCHE,3,0
JAC E REV FUR,JAC,3,0
EQE350 SUV AMGL,M.BENZ,3,0
FERRARI SF90 XX STRADA,LAND ROVER,3,0
KEYTON EX7,BMW,3,0
MB S 580E 4MATIC LONG,HITECH,3,0
TOYOTA SIENNA XSE FWD,TOYOTA,3,0
TUNDRA HYBRID,TOYOTA,3,0
LEXUS UX250H DYNAMIC,LEXUS,3,0
S580E MAYBACH,M.BENZ,3,0
LR RR D350 SE,LAND ROVER,3,0
CADILLAC LYRIQ LUX3,BMW,3,0
IPACE E400 HSE,KEYTON,3,0
LAMBORGHINI URUS BEAA,LAMBORGHINI,3,0
CADILLAC OPTIQ SPORT3,LAND ROVER,3,0
LEXUS RX450H F SPORT HEV,LAND ROVER,3,0
SIENNA HYB XLE,TOYOTA,3,0
KIA STONIC MHEV SX- HEV,KIA,3,0
MINI JCW-E 3P,MINI,3,0
JAC EJV12,JAC,3,0
X3 M50I,BMW,3,0
LR RR D350 SV,LAND ROVER,3,0
DONGFENG NANO201 EX008,CADILLAC,3,0
TESLA MODEL 3 LONG R P,LEXUS,3,0
MACAN E4S,PORSCHE,3,0
GLS 600 MAYBACH,M.BENZ,3,0
MODEL Y,TESLA,3,0
320 ESPRINTER F,LEXUS,3,0
MASERATI GHIBLI GT HYB,MASERATI,3,0
SERES5 HUA4,AUDI,3,0
TOYOTA SEQUOIA CAPST,TOYOTA,3,0
TOYOTA SIENNA XLE,TOYOTA,3,0
DFSK E5 M2,DFSK,3,0
F-150 LIGHTN PLAT,M.BENZ,2,0
Q5 2.0 TFSI,AUDI,2,0
DOLPHIN MINI GL EV,BYD,2,0
EC31,MASERATI,2,0
MUSTANG MACH-E PR,BYD,2,0
AION ES,LEXUS,2,0
TXS,TOYOTA,2,0
VOLVO S60 T8 R-DESIGN,VOLVO,2,0
AMG S 63E PERFORMA,M.BENZ,2,0
BMW X3 XDRIVE30E,BMW,2,0
FCA PACIFICA HPINNACLE,CHRYSLER,2,0
ECLIPSE CR PHEV,MITSUBISHI,2,0
TOYOTA TUNDRA HYBRID,TOYOTA,2,0
MODEL 3 STANDARD,BYD,2,0
MUSTANG MACH-E SE,BYD,2,0
DENZA D9 PREM DM,DENZA,2,0
MODEL Y PERFORMA,TESLA,2,0
E REV FUR,M.BENZ,2,0
CHRYSLER PACIFICA FWD,CHRYSLER,2,0
SIENNA LE,TOYOTA,2,0
PUROSANGUE,MITSUBISHI,2,0
FORD ETRANSIT 350 FL,FORD,2,0
MODEL 3 PERFORMA,TESLA,2,0
M.BENZ EQV300 L,FORD,2,0
JAC T40 1.6 DVVT CVT,JAC,2,0
AUDI Q8 SB E TRON 55,AUDI,2,0
RR PHEV SE,LAND ROVER,2,0
M.BENZ EQE300 SUV,M.BENZ,2,0
TUCSON TURBO LTD,HYUNDAI,2,0
EX1 PRO,CAOA CHERY,2,0
TESLA MODEL 3 STDRPLUS,LEXUS,2,0
PORSCHE TAYCAN TURBOCT,PORSCHE,2,0
16TA,M.BENZ,2,0
MODEL X,TESLA,2,0
MAXUS EV30,AUDI,2,0
TESLA MODEL S,LEXUS,2,0
KIA CARNIVAL HEV EX,KIA,2,0
PACIFICA HYLT,CHRYSLER,2,0
FANGCHENG BAO5 DM,DONGFENG,2,0
FORD ETRANSIT 350 F,FORD,2,0
RENAULT TWIZY INTENSE,RENAULT,2,0
JAC HUNTER HD 4X4 AT,JAC,2,0
MODEL 3 STDRPLUS,TESLA,2,0
EC40 6 PLUS,VOLVO,2,0
EV5 WAVE 4WD,KIA,2,0
ARTURA SPIDER,KIA,2,0
TOYOTA SIENNA FWD,TOYOTA,2,0
XC60 INSC EXPRES,VOLVO,2,0
PRO16TA,CAOA CHERY,2,0
EX40 6 PLUS,VOLVO,2,0
GMC HUMMER EV EDITION1,GM,2,0
R1S ADVENTURE,TESLA,2,0
X 500 LUXURY,LEXUS,2,0
TESLA MODEL Y PERFORM,LEXUS,2,0
Q6 ETRON QUATTRO,MCLAREN,2,0
GAC EMKOO 2.0 ATK GT,GAC,2,0
TESLA MODEL 3,LEXUS,2,0
JIANGXI JMEV EV2,CAOA CHERY,2,0
DENZA D9 GS DM,DENZA,2,0
TESLA MODEL Y LONG R P,LEXUS,2,0
DONGFENG EX1 BOX L,RIVIAN,2,0
F-150 LIGHTNING,NETA,2,0
TOYOTA RAV4 HYBRID,TOYOTA,2,0
CAOA CHERY ARRIZO6 PRHA,CAOA CHERY,2,0
MAVERICK HYB LRT,FORD,2,0
X6 XDRIVE40I MSP,BMW,2,0
XC90 T8 ULTIMATE,VOLVO,2,0
CAYENNE CP PHE,PORSCHE,2,0
C200 AMG LINE,M.BENZ,2,0
330E,BMW,2,0
C300 AMG LINE,M.BENZ,2,0
TOYOTA RAV4H SXAWD CNT HEV,TOYOTA,2,0
S 580 E LONG,M.BENZ,1,0
RS5 SB COMP PLUS,AUDI,1,0
GLS 63 AMG,M.BENZ,1,0
P1 COUPE,JAC,1,0
BAIC EU5 R500 BEV,BAIC,1,0
G03F EDI,KIA,1,0
I7 XDRIVE60 51EJ,BMW,1,0
VOLVO XC90 T8,VOLVO,1,0
M.BENZ S 580 E LONG,CAOA CHERY,1,0
MINI CYMAN ALL4 SE,MINI,1,0
GMC SIERRA 1500 D ULTI,LAND ROVER,1,0
M.BENZ SMART FORTWO EQ,SMART,1,0
TOYOTA SIENNA HIBRYD,TOYOTA,1,0
TIGGO5X SPORT,CAOA CHERY,1,0
M.BENZ EQE350 AMGL,M.BENZ,1,0
VELAR PHEV SE DYN,LAND ROVER,1,0
CANDY 200KM,VOLVO,1,0
TOYOTA SEQUOIA CAPSTON,TOYOTA,1,0
PORSCHE MACAN E2,PORSCHE,1,0
PORSCHE TAYCAN TURBOGT,PORSCHE,1,0
LINCOLN AVIATOR HYBR,LINCOLN,1,0
LR DEF130D HSE XD,LAND ROVER,1,0
SPT D200 S,LAND ROVER,1,0
TOYOTA SIENNA HYB LE,TOYOTA,1,0
X7 ALPINA XB7,BMW,1,0
DEF130D350 X,LAND ROVER,1,0
DONGFENG SERES5 EVRDLX,LEXUS,1,0
SOKON EC35,SINOGOLD,1,0
M.BENZ S580E MAYBACH,M.BENZ,1,0
ROLLS ROYCE SPECTRE,LEXUS,1,0
SF 90 SPIDER,PORSCHE,1,0
PRIUS 1.8,TOYOTA,1,0
BENTLEY CONTI GT SPEED,BENTLEY,1,0
TOYOTA MIRAI XLE FCV,TOYOTA,1,0
FORESTER L,LEXUS,1,0
LEAF,NISSAN,1,0
IEV750V ALLT AMB,JAC,1,0
HYUNDAI KONA GLS HEV,HYUNDAI,1,0
FRONTIER S MTX4,NISSAN,1,0
X7 XDRIVE40I,BMW,1,0
AMG GT 63 SE,M.BENZ,1,0
GT63S EP,ROLLS ROYCE,1,0
RR PHEV LE,LAND ROVER,1,0
DFSK SERES E3,LEXUS,1,0
HUMMER EV 3X,TOYOTA,1,0
ETRANSIT F35MAAB,FORD,1,0
FERRARI SF90 SPIDER PHEV,LAND ROVER,1,0
SMART EQ FORTWO CABRIO,SMART,1,0
IEV750 ALT AMB,JAC,1,0
HUMMER EV SUV 2X,JAC,1,0
JAC E-JS3,JAC,1,0
DISC SPT D200 SE RD,LAND ROVER,1,0
Q8 ETRON,AUDI,1,0
CR-V EXL,M.BENZ,1,0
X 500 COMFORT,M.BENZ,1,0
BMW I7 XDRIVE60 51EJ,BMW,1,0
GWM HAVAL H6 TOP11,GWM,1,0
JAG FPACE PHEV RDYN S,JAGUAR,1,0
JAC T60 1.5 TURBO,JAC,1,0
TOYOTA SIENNA LIMITED,TOYOTA,1,0
MBENZ AMG GT 63 SE PER,M.BENZ,1,0
CONT GTC SPEED,JAC,1,0
ETRANSIT F35MAAA,FORD,1,0
NEXTEM ORCA FEVER FN1A,JAC,1,0
MODEL Y REAR WD,TESLA,1,0
LR R.R SPT 3.0 TD SE,LAND ROVER,1,0
FORD MAVERICK LRT HYB,FORD,1,0
RR D350 HSE,LAND ROVER,1,0
LEOPARD 5,BMW,1,0
M.BENZ 320 VIPK AMB,GWM,1,0
CCROSS HEV 20,TOYOTA,1,0
FERRARI LA FERRARI,LAND ROVER,1,0
NIRO EV SX,KIA,1,0
LR RRSPT PHEV404 HSE,LAND ROVER,1,0
TUNDRA TDR PRO,TOYOTA,1,0
LR DEF130D OB,LAND ROVER,1,0
LEXUS UX300E LUXURY,BMW,1,0
E5 EV,TESLA,1,0
TOYOTA RAV4 XSE PHV,TOYOTA,1,0
RR TP,LAND ROVER,1,0
MIRAI XLE FCV,TOYOTA,1,0
GWM HAVAL H6 TOP13,GWM,1,0
JAC IEV750 VIP ALPHA6,JAC,1,0
PACIFICA FWD,CHRYSLER,1,0
RIVIAN R1T ADVENTURE,FERRARI,1,0
GLC300 4MAT HYB,M.BENZ,1,0
IONIQ ELECTRIC,HYUNDAI,1,0
GMC HUMMER EV SUV EDIT,GM,1,0
XC40 RECHARGE PE,VOLVO,1,0
GWM HAVAL H6 TOP9,GWM,1,0
TOYOTA RAV4 XLE,TOYOTA,1,0
GLS 600 MAYBACH 4MA,M.BENZ,1,0
JAG IPACE E400 HSE,JAGUAR,1,0
HYUNDAI IONIQ5 EV,AUDI,1,0
GLS 600,M.BENZ,1,0
918 SPYDER,PORSCHE,1,0
FOTON EVIEW GRAND53,FOTON,1,0
812 GTS,RIVIAN,1,0
SOKON EC31 FUR,M.BENZ,1,0
HIGHLANDER HL,TOYOTA,1,0
Q5 2.0 TFSI Q,AUDI,1,0
GWM HAVAL H6 GT TOP1,GWM,1,0
GWM HAVAL H6 TOP6,GWM,1,0
GWM HAVAL H6 GT TOP2,GWM,1,0
M.BENZ S 580 4MATIC,M.BENZ,1,0
KIA CARNIVAL EX,KIA,1,0
DEF90D350 HSE XD,LAND ROVER,1,0
F-150 LIMITED HYB,RDK,1,0
FORD ETRANSIT 350 FB,FORD,1,0
S580 4MA L LONG,M.BENZ,1,0
LR DEF110 PHEV X,LAND ROVER,1,0
TESLA MODEL X LONG R,LEXUS,1,0
SMART EQ CABRIO,SMART,1,0
CRV TOURING,TOYOTA,1,0
GAC HYPER HT,GAC,1,0
VOLVO SX40 RETH,VOLVO,1,0
LR R.R SPT P575 SVR,LAND ROVER,1,0
AYA COMFORT 4S,GWM,1,0
MODEL S LONG R,TESLA,1,0
FERRARI SF90 XX SPIDER,LAND ROVER,1,0
TOYOTA RAV4 2.5L AWD,TOYOTA,1,0
XM,FORD,1,0
CHANGAN UNI-T,BYD,1,0
GWM HAVAL H6 TOP12,GWM,1,0
BYD U9 1680EV,BYD,1,0
MG MG4 64 KWH LUX,LEXUS,1,0
PACIFICA LIMITED,CHRYSLER,1,0
AUDI SQ8 SB E TRON,AUDI,1,0
TESLA MODEL 3 STANDARD,BYD,1,0
EQS 580 4MATIC,M.BENZ,1,0
FORD F-150 LIMITED HYB,FORD,1,0
MODEL X LONG R,TESLA,1,0
KIA STONIC MHEV EX HEV,KIA,1,0
VOLVO S60 T8 POLESTAR,VOLVO,1,0
LAND ROVER RANGE ROVER,LAND ROVER,1,0
PACIFICA AWD,CHRYSLER,1,0
IVECO DAILY 42S14CS-E,IVECO,1,0
JAC IEV350T,JAC,1,0
GM SILVERADO 1500 HIGH,GM,1,0
FOTON EWONDER CHASSI,FOTON,1,0
TOYOTA RAV4 HYBRID SUV,TOYOTA,1,0
EXPLORER LIMITED,FORD,1,0
EX7,BMW,1,0
LA FERRARI,LAND ROVER,1,0
SF90 XX STRADA,M.BENZ,1,0
ETRANSIT F35MMAB,FORD,1,0
MG MG4 51KWH STD,MG,1,0
PACIFICA HYB TOU L,CHRYSLER,1,0
JS6,VOLVO,1,0
PACIFICAH PINNACLE,CHRYSLER,1,0
XC60 T8 MOMENTUM,VOLVO,1,0
LEXUS LS500H,LEXUS,1,0
TOYOTA SIENNA XLE FWD,TOYOTA,1,0
GWM HAVAL H6 TOP3,GWM,1,0
BYD TAN DMI,BYD,1,0
GWM HAVAL H6 TOP8,GWM,1,0
ROMA SPIDER,FORD,1,0
PACIFICA LMT,CHRYSLER,1,0
GWM HAVAL H6 TOP10,GWM,1,0
CHANGAN S7,BYD,1,0
E-TRON QUATTRO,FORD,1,0
